name,date,value
facebook/react,May 29 2013,0
facebook/react,Dec 20 2013,2610
facebook/react,May 06 2014,5280
facebook/react,Sep 22 2014,7950
facebook/react,Dec 18 2014,10620
facebook/react,Feb 05 2015,13290
facebook/react,Mar 20 2015,15960
facebook/react,May 01 2015,18630
facebook/react,Jul 02 2015,21270
facebook/react,Sep 04 2015,23940
facebook/react,Oct 27 2015,26610
facebook/react,Dec 17 2015,29280
facebook/react,Feb 11 2016,31950
facebook/react,Mar 27 2016,34620
facebook/react,May 14 2016,37290
facebook/react,Jul 07 2016,39960
facebook/react,Jul 14 2023,210325
solidjs/solid,May 26 2018,0
solidjs/solid,May 08 2020,1830
solidjs/solid,Sep 06 2020,3720
solidjs/solid,May 11 2021,5610
solidjs/solid,Jul 04 2021,7500
solidjs/solid,Aug 04 2021,9390
solidjs/solid,Oct 27 2021,11280
solidjs/solid,Jan 13 2022,13170
solidjs/solid,Mar 08 2022,15060
solidjs/solid,May 16 2022,16950
solidjs/solid,Jun 15 2022,18840
solidjs/solid,Aug 11 2022,20730
solidjs/solid,Oct 26 2022,22620
solidjs/solid,Jan 15 2023,24510
solidjs/solid,Mar 20 2023,26400
solidjs/solid,Jul 12 2023,28290
solidjs/solid,Jul 14 2023,28326
jashkenas/backbone,Sep 26 2010,0
jashkenas/backbone,Sep 30 2010,3690
jashkenas/backbone,Nov 30 2010,5550
jashkenas/backbone,Jun 25 2011,7410
jashkenas/backbone,Apr 04 2012,9300
jashkenas/backbone,Apr 15 2013,11160
jashkenas/backbone,Sep 26 2013,13020
jashkenas/backbone,Apr 18 2014,14910
jashkenas/backbone,Nov 08 2014,16770
jashkenas/backbone,Apr 20 2015,18630
jashkenas/backbone,Nov 03 2015,20520
jashkenas/backbone,Jun 29 2016,22380
jashkenas/backbone,Jun 23 2017,24240
jashkenas/backbone,Mar 30 2019,26130
jashkenas/backbone,Jun 12 2023,27990
jashkenas/backbone,Jul 14 2023,28026
sveltejs/svelte,Nov 20 2016,0
sveltejs/svelte,Dec 05 2016,2610
sveltejs/svelte,Dec 22 2017,5280
sveltejs/svelte,Nov 24 2018,7950
sveltejs/svelte,Apr 24 2019,10620
sveltejs/svelte,May 09 2019,13290
sveltejs/svelte,May 28 2019,15960
sveltejs/svelte,Jul 02 2019,18630
sveltejs/svelte,Aug 27 2019,21270
sveltejs/svelte,Oct 28 2019,23940
sveltejs/svelte,Dec 23 2019,26610
sveltejs/svelte,Feb 29 2020,29280
sveltejs/svelte,May 14 2020,31950
sveltejs/svelte,Aug 17 2020,34620
sveltejs/svelte,Nov 02 2020,37290
sveltejs/svelte,Jan 16 2021,39960
sveltejs/svelte,Jul 14 2023,70944
preactjs/preact,Sep 16 2015,0
preactjs/preact,May 02 2016,2250
preactjs/preact,Nov 18 2016,4560
preactjs/preact,Feb 10 2017,6900
preactjs/preact,Jun 05 2017,9210
preactjs/preact,Aug 21 2017,11520
preactjs/preact,Sep 19 2017,13830
preactjs/preact,Jan 21 2018,16140
preactjs/preact,Aug 07 2018,18480
preactjs/preact,Mar 11 2019,20790
preactjs/preact,Oct 14 2019,23100
preactjs/preact,May 29 2020,25410
preactjs/preact,Mar 10 2021,27720
preactjs/preact,Dec 28 2021,30060
preactjs/preact,Sep 06 2022,32370
preactjs/preact,Jul 11 2023,34680
preactjs/preact,Jul 14 2023,34715
angular/angular.js,Jan 05 2010,0
angular/angular.js,Dec 16 2010,2610
angular/angular.js,Dec 13 2012,5280
angular/angular.js,May 22 2013,7950
angular/angular.js,Aug 21 2013,10620
angular/angular.js,Nov 08 2013,13290
angular/angular.js,Jan 27 2014,15960
angular/angular.js,Apr 16 2014,18630
angular/angular.js,Jul 09 2014,21270
angular/angular.js,Sep 22 2014,23940
angular/angular.js,Nov 26 2014,26610
angular/angular.js,Feb 08 2015,29280
angular/angular.js,Apr 28 2015,31950
angular/angular.js,Jul 20 2015,34620
angular/angular.js,Oct 25 2015,37290
angular/angular.js,Jan 25 2016,39960
angular/angular.js,Jul 14 2023,59127
vuejs/vue,Oct 13 2013,0
vuejs/vue,Dec 16 2014,2610
vuejs/vue,Aug 14 2015,5280
vuejs/vue,Nov 04 2015,7950
vuejs/vue,Jan 05 2016,10620
vuejs/vue,Mar 17 2016,13290
vuejs/vue,May 05 2016,15960
vuejs/vue,Jun 24 2016,18630
vuejs/vue,Aug 09 2016,21270
vuejs/vue,Sep 15 2016,23940
vuejs/vue,Oct 13 2016,26610
vuejs/vue,Nov 08 2016,29280
vuejs/vue,Dec 08 2016,31950
vuejs/vue,Jan 09 2017,34620
vuejs/vue,Feb 07 2017,37290
vuejs/vue,Mar 01 2017,39960
vuejs/vue,Jul 14 2023,204411
emberjs/ember.js,Apr 30 2011,0
emberjs/ember.js,May 25 2011,2940
emberjs/ember.js,Jun 06 2012,4440
emberjs/ember.js,Jun 14 2013,5910
emberjs/ember.js,Dec 19 2013,7410
emberjs/ember.js,Jun 24 2014,8910
emberjs/ember.js,Dec 28 2014,10410
emberjs/ember.js,May 27 2015,11910
emberjs/ember.js,Dec 23 2015,13410
emberjs/ember.js,Sep 05 2016,14910
emberjs/ember.js,Jul 13 2017,16410
emberjs/ember.js,Jul 18 2018,17880
emberjs/ember.js,Feb 17 2019,19380
emberjs/ember.js,Nov 06 2020,20880
emberjs/ember.js,Jun 02 2023,22380
emberjs/ember.js,Jul 14 2023,22439
alpinejs/alpine,Nov 28 2019,0
alpinejs/alpine,Jan 12 2020,1560
alpinejs/alpine,Feb 12 2020,3180
alpinejs/alpine,Mar 10 2020,4800
alpinejs/alpine,Apr 30 2020,6420
alpinejs/alpine,Jun 09 2020,8040
alpinejs/alpine,Aug 21 2020,9660
alpinejs/alpine,Nov 19 2020,11280
alpinejs/alpine,Jan 26 2021,12930
alpinejs/alpine,Mar 28 2021,14550
alpinejs/alpine,Jun 14 2021,16170
alpinejs/alpine,Sep 17 2021,17790
alpinejs/alpine,Feb 22 2022,19410
alpinejs/alpine,Aug 13 2022,21030
alpinejs/alpine,Jan 26 2023,22650
alpinejs/alpine,Jul 12 2023,24270
alpinejs/alpine,Jul 14 2023,24308
lit/lit,Jun 29 2017,0
lit/lit,Nov 07 2017,960
lit/lit,Apr 14 2018,1980
lit/lit,Nov 01 2018,3000
lit/lit,Apr 07 2019,4020
lit/lit,Aug 21 2019,5040
lit/lit,Jun 07 2020,6060
lit/lit,Apr 21 2021,7080
lit/lit,Jul 05 2021,8070
lit/lit,Oct 28 2021,9090
lit/lit,Feb 11 2022,10110
lit/lit,May 11 2022,11130
lit/lit,Aug 30 2022,12150
lit/lit,Dec 15 2022,13170
lit/lit,Apr 11 2023,14190
lit/lit,Jul 11 2023,15210
lit/lit,Jul 14 2023,15245
BuilderIO/qwik,May 29 2021,0
BuilderIO/qwik,Dec 19 2021,1170
BuilderIO/qwik,Mar 21 2022,2370
BuilderIO/qwik,Jun 13 2022,3600
BuilderIO/qwik,Jul 22 2022,4830
BuilderIO/qwik,Sep 20 2022,6030
BuilderIO/qwik,Sep 21 2022,7260
BuilderIO/qwik,Sep 23 2022,8490
BuilderIO/qwik,Oct 01 2022,9690
BuilderIO/qwik,Oct 12 2022,10920
BuilderIO/qwik,Oct 26 2022,12150
BuilderIO/qwik,Nov 29 2022,13350
BuilderIO/qwik,Jan 24 2023,14580
BuilderIO/qwik,Mar 25 2023,15810
BuilderIO/qwik,May 09 2023,17010
BuilderIO/qwik,Jul 10 2023,18240
BuilderIO/qwik,Jul 14 2023,18300
ionic-team/stencil,Mar 17 2017,0
ionic-team/stencil,Sep 16 2017,720
ionic-team/stencil,Dec 04 2017,1500
ionic-team/stencil,Mar 14 2018,2310
ionic-team/stencil,Jul 20 2018,3090
ionic-team/stencil,Oct 25 2018,3870
